iter	Passed	Remaining
0	4	818
1	11	1099
2	15	1002
3	21	1041
4	29	1155
5	34	1119
6	40	1121
7	45	1097
8	48	1027
9	54	1041
10	60	1046
11	67	1061
12	76	1103
13	85	1141
14	94	1164
15	98	1135
16	104	1126
17	114	1158
18	117	1115
19	125	1130
20	131	1123
21	139	1128
22	144	1114
23	153	1128
24	160	1124
25	165	126	126	172	127	127	178	128	128	185	129	202	1146
30	230	197	131	216	1138
32	223	1128
33	230	1127
34	236	1114
35	243	1108
36	250	1101
37	255	1090
38	262	1083
39	270	1082
40	277	1077
41	285	1073
42	290	1060
43	298	1058
44	306	1056
45	312	1045
46	318	1037
47	322	1021
48	329	1015
49	333	1050	50	339	951	51	344	952	341	947
53	53	359	954	54	368	955	364	936
56	371	932
57	379	928
58	384	920
59	59	402	960	60	412	961	407	907
62	62	422	963	63	427	964	64	431	865	65	436	866	66	441	867	67	447	868	68	454	869	69	460	870	70	465	871	71	471	872	470	818
73	481	820
74	485	809
75	489	799
76	76	507	810
77	514	878	78	519	779	79	523	780	521	766
81	528	760
82	535	754
83	541	748
84	547	740
85	552	732
86	562	730
87	568	723
88	572	714
89	579	708
90	583	699
91	592	695
92	597	687
93	601	678
94	608	672
95	615	666
96	650	690
97	653	680
98	98	688	702
99	692	692
100	695	681
101	699	671
102	702	6103103	707	6104104	713	6105	693	615
106	710	617
107107	739	6108108	749	6109109	753	6110110	757	6111	739	580
112112	768	5113	752	567
114	759	561
115	769	557
116	777	551
117	785	545
118	792	539
119	798	532
120	805	525
121	810	518
122	817	512
123	821	503
124	827	496
125	834	489
126	838	482
127	845	475
128	852	469
129	857	461
130	860	453
131	869	447
132	874	440
133	882	434
134	889	428
135	894	420
136	905	416
137	914	410
138	918	403
139	924	396
140	930	389
141	935	382
142	949	378
143	955	371
144	960	364
145	978	362
146	986	355
147	992	348
148	997	341
149	1005	335
150	1017	330
151	1022	322
152	1027	315
153	1035	309
154	1044	303
155	1047	295
156	1054	288
157	1062	282
158	1071	276
159	1075	268
160	1081	261
161	1085	254
162	1090	247
163	1095	240
164	1099	233
165	1106	226
166	1116	220
167	1135	216
168	1150	210
169	1158	204
170	1165	197
171	1184	192
172	1194	186
173	1204	180
174	1211	173
175	1227	167
176	1252	162
177	1268	156
178	1276	149
179	1290	143
180	1297	136
181	1312	129
182	1320	122
183	1325	115
184	1330	107
185	1335	100
186	1340	93
187	1344	85
188	1348	78
189	1355	71
190	1362	64
191	1367	56
192	1371	49
193	1374	42
194	1377	35
195	1381	28
196	1387	21
197	1391	14
198	1396	7
199	1401	0
530	39
195	1535	31
198	1450	7
199	1454	0
5
198	1548	7
199	1553	0
